dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,23,4,0.0,6,0.8125,0.7909200393140268,0.7927725104624262,0.8125,2025-09-29T01:17:22.667564
uci,23,4,0.0,8,0.8153333333333334,0.7914936049698945,0.7965708331222874,0.8153333333333334,2025-09-29T01:17:22.675233
uci,23,4,0.1,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:22.681830
uci,23,4,0.1,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:22.716052
uci,23,4,0.1,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:22.740215
uci,23,4,0.1,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:22.747733
uci,23,4,0.1,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:22.754103
uci,23,4,0.2,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:22.779570
uci,23,4,0.2,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:22.799052
uci,23,4,0.2,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:22.817477
uci,23,4,0.2,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:22.820029
uci,23,4,0.2,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:22.854281
uci,23,4,0.3,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:22.868406
uci,23,4,0.3,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:22.878734
uci,23,4,0.3,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:22.880824
uci,23,4,0.4,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:22.945593
uci,23,4,0.3,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:22.948467
uci,23,4,0.4,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:22.950607
uci,23,4,0.3,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:22.955379
uci,23,4,0.5,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:23.019705
uci,23,4,0.4,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:23.025267
uci,23,4,0.4,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:23.032624
uci,23,4,0.4,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:23.033049
uci,23,4,0.5,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:23.081882
uci,23,4,0.5,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:23.106966
uci,23,4,0.5,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:23.109841
uci,23,4,0.5,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:23.113958
uci,23,4,0.6,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:23.144406
uci,23,4,0.6,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:23.170924
uci,23,4,0.6,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:23.180639
uci,23,4,0.6,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:23.184225
uci,23,4,0.6,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:23.221587
uci,23,4,0.7,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:23.230397
uci,23,4,0.7,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:23.247887
uci,23,4,0.7,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:23.250321
uci,23,4,0.7,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:23.315177
uci,23,4,0.8,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:23.319132
uci,23,4,0.8,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:23.320870
uci,23,4,0.7,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:23.323989
uci,23,4,0.9,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:23.393277
uci,23,4,0.8,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:23.395375
uci,23,4,0.8,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:23.402159
uci,23,4,0.8,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:23.406265
uci,23,4,0.9,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:23.444223
uci,23,4,0.9,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:23.467644
uci,23,4,0.9,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:23.479562
uci,23,4,0.9,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:23.482855
uci,23,4,1.0,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:23.514926
uci,23,4,1.0,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:23.540282
uci,23,4,1.0,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:23.553940
uci,23,4,1.0,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:23.554182
uci,23,4,1.0,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:23.579631
uci,23,5,0.0,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:23.593048
uci,23,5,0.0,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:23.616788
uci,23,5,0.0,6,0.8125,0.7909200393140268,0.7927725104624262,0.8125,2025-09-29T01:17:23.623053
uci,23,5,0.0,7,0.8093333333333333,0.7949266346100702,0.791753254668862,0.8093333333333333,2025-09-29T01:17:23.637435
uci,23,5,0.0,8,0.8153333333333334,0.7914936049698945,0.7965708331222874,0.8153333333333334,2025-09-29T01:17:23.658186
uci,23,5,0.1,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:23.680871
uci,23,5,0.1,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:23.684296
uci,23,5,0.1,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:23.701879
uci,23,5,0.1,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:23.727686
uci,23,5,0.2,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:23.749340
uci,23,5,0.2,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:23.759192
uci,23,5,0.1,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:23.762141
uci,23,5,0.2,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:23.792629
